world_rank,university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
1,California Institute of Technology,95.6,64.0,97.6,99.8,97.8,95.2,2243,6.9,27,49.25373134328358
2,University of Oxford,86.5,94.4,98.9,98.8,73.1,94.2,19919,11.6,34,85.18518518518519
3,Stanford University,92.5,76.3,96.2,99.9,63.3,93.9,15596,7.8,22,72.41379310344827
4,University of Cambridge,88.2,91.5,96.7,97.0,55.0,92.8,18812,11.8,34,85.18518518518519
5,Massachusetts Institute of Technology,89.4,84.0,88.6,99.7,95.4,92.0,11074,9.0,33,58.730158730158735
6,Harvard University,83.6,77.2,99.0,99.8,45.2,91.6,20152,8.9,25,108.33333333333333
7,Princeton University,85.1,78.5,91.9,99.3,52.1,90.1,7929,8.4,27,81.81818181818183
8,Imperial College London,83.3,96.0,88.5,96.7,53.7,89.1,15060,11.7,51,58.730158730158735
9,ETH Zurich – Swiss Federal Institute of Technology Zurich,77.0,97.9,95.0,91.1,80.0,88.3,18178,14.7,37,44.927536231884055
10,University of Chicago,85.7,65.0,88.9,99.2,36.6,87.9,14221,6.9,21,72.41379310344827
11,Johns Hopkins University,77.6,70.0,90.4,98.2,100.0,87.6,15128,3.6,23,100.0
12,Yale University,86.5,64.3,87.8,97.2,43.3,87.4,11751,4.4,20,100.0
13,"University of California, Berkeley",80.4,61.9,91.1,99.7,47.9,87.2,36186,16.4,15,100.0
14,University College London,78.1,94.4,91.0,94.2,40.5,87.1,26607,10.7,46,127.27272727272727
15,Columbia University,85.9,73.5,82.2,98.1,48.9,86.1,25055,5.9,28,108.33333333333333
16,"University of California, Los Angeles",80.8,56.4,88.6,98.5,47.9,85.8,38206,10.3,15,108.33333333333333
17,University of Pennsylvania,82.0,49.5,86.9,98.6,47.9,85.2,20376,6.5,20,104.08163265306123
18,Cornell University,77.9,63.9,86.1,97.2,33.7,84.0,21424,10.2,19,92.3076923076923
19,University of Toronto,75.9,77.8,89.3,90.9,49.1,83.9,66198,19.5,15,108.33333333333333
20,Duke University,76.0,56.5,78.0,99.0,100.0,82.7,15172,4.8,17,96.07843137254902
21,University of Michigan,76.8,53.7,85.2,94.4,56.3,82.4,41786,9.0,16,92.3076923076923
22,Carnegie Mellon University,67.4,57.1,88.8,99.1,57.5,82.3,11885,13.1,35,63.934426229508205
23,London School of Economics and Political Science,69.8,93.6,80.6,94.3,32.2,81.3,23044.5,14.95,18.0,108.33333333333333
24,University of Edinburgh,68.6,89.8,77.2,96.3,36.1,80.3,25774,14.1,36,138.0952380952381
25,Northwestern University,69.8,53.9,78.4,96.5,81.2,79.5,18334,13.8,15,92.3076923076923
26,National University of Singapore,71.7,96.2,84.5,79.4,49.8,79.2,31592,15.5,34,96.07843137254902
27,King’s College London,64.5,93.8,75.8,93.8,40.1,78.2,21394,11.4,37,156.4102564102564
28,Karolinska Institute,60.6,73.1,81.1,92.2,75.8,77.5,7774,11.5,22,233.33333333333334
29,LMU Munich,70.5,62.8,77.4,85.7,100.0,77.3,35691,15.5,13,163.1578947368421
30,New York University,74.7,49.3,72.3,95.3,30.4,77.2,42056,6.8,19,122.22222222222223
31,École Polytechnique Fédérale de Lausanne,61.3,98.6,67.5,94.6,65.4,76.1,9666,10.5,54,36.986301369863014
32,University of Washington,67.1,51.2,70.0,98.6,43.1,75.6,44020,11.8,13,112.7659574468085
33,University of Melbourne,62.0,87.1,75.5,86.6,64.6,75.4,40128,23.7,35,122.22222222222223
34,University of British Columbia,60.2,90.5,73.2,91.5,42.6,75.3,50152,17.6,25,117.3913043478261
35,KU Leuven,59.9,68.6,76.9,87.3,100.0,74.8,42503,41.9,18,117.3913043478261
36,University of Illinois at Urbana-Champaign,64.5,45.8,81.2,86.8,52.8,74.5,42727,18.7,20,88.67924528301887
37,Heidelberg University,68.8,62.8,69.6,88.2,68.2,74.4,28881,24.5,17,122.22222222222223
38,McGill University,66.1,85.5,72.1,78.9,40.3,72.6,31326,13.7,23,127.27272727272727
39,"University of California, San Diego",56.9,42.9,69.8,98.7,56.7,72.2,27233,6.5,11,92.3076923076923
39,"University of California, Santa Barbara",52.6,61.5,66.0,99.2,90.4,72.2,22020,27.3,11,108.33333333333333
41,Georgia Institute of Technology,57.8,71.5,72.7,86.0,73.7,72.1,19967,20.1,26,44.927536231884055
42,Peking University,77.8,49.2,72.4,69.1,100.0,72.0,40148,8.3,14,108.33333333333333
43,University of Tokyo,81.4,30.3,83.0,60.9,50.8,71.1,26199,5.7,10,108.33333333333333
44,"University of California, Davis",60.1,58.4,72.7,84.3,57.3,71.0,35364,13.9,13,117.3913043478261
44,University of Hong Kong,64.6,99.5,72.8,70.1,53.7,71.0,19835,17.6,38,112.7659574468085
46,University of Texas at Austin,59.3,31.7,69.7,92.2,63.1,70.3,49427,17.4,9,104.08163265306123
47,Tsinghua University,73.3,39.5,83.0,58.8,100.0,70.0,39763,13.7,10,47.05882352941176
